Time,Vmax,Vvert,Altitude,Error,ThrustSet,MaxAccUp
0.08,84.48,20.07,11947.7,64.52,0,0.44
0.2,85.1,20.14,11945.29,65.09,0,0.45
0.32,85.79,20.22,11942.87,65.64,0,0.45
0.44,86.43,20.29,11940.43,66.21,0,0.46
0.56,86.98,20.37,11937.99,66.75,0,0.47
0.68,87.6,20.43,11935.54,67.21,0,0.47
0.8,88.27,20.51,11933.09,67.86,0,0.48
0.92,88.92,20.59,11930.62,68.44,0,0.49
1.04,89.56,20.66,11928.14,69,0,0.49
1.16,90.19,20.74,11925.66,69.55,0,0.5
1.28,90.82,20.81,11923.16,70.11,0,0.51
1.4,91.45,20.89,11920.66,70.66,0,0.51
1.52,92.07,20.96,11918.15,71.21,0,0.52
1.64,92.66,21.04,11915.63,71.74,0,0.53
1.76,93.31,21.11,11913.1,72.31,0,0.54
1.88,93.93,21.18,11910.56,72.84,0,0.54
2,94.52,21.26,11908.01,73.38,0,0.55
2.12,95.13,21.34,11905.45,73.93,0,0.56
2.24,95.77,21.41,11902.89,74.46,0,0.56
2.36,96.38,21.49,11900.31,75.02,0,0.57
2.48,97.01,21.56,11897.73,75.54,0,0.58
2.6,97.59,21.63,11895.14,76.05,0,0.58
2.72,98.19,21.71,11892.54,76.6,0,0.59
2.84,98.8,21.78,11889.93,77.08,0,0.6
2.96,99.38,21.86,11887.31,77.62,0,0.6
3.08,99.96,21.93,11884.68,78.13,0,0.61
3.2,100.54,22,11882.04,78.62,0,0.62
3.32,101.12,22.08,11879.39,79.13,0,0.63
3.44,101.67,22.15,11876.74,79.64,0,0.63
3.56,102.25,22.23,11874.08,80.12,0,0.64
3.68,102.86,22.3,11871.4,80.63,0,0.65
3.8,103.36,22.38,11868.72,81.1,0,0.65
3.92,103.93,22.45,11866.03,81.56,0,0.66
4.04,104.44,22.53,11863.33,82.02,0,0.67
4.16,104.96,22.6,11860.62,82.46,0,0.67
4.28,105.52,22.68,11857.91,82.93,0,0.68
4.4,106,22.75,11855.18,83.36,0,0.69
4.52,106.52,22.82,11852.44,83.77,0,0.69
4.64,107.05,22.9,11849.7,84.23,0,0.7
4.76,107.54,22.97,11846.95,84.67,0,0.71
4.88,108.05,23.05,11844.18,85.1,0,0.72
5,108.56,23.12,11841.41,85.56,0,0.72
5.12,109.11,23.19,11838.63,85.95,0,0.73
5.24,109.6,23.27,11835.84,86.41,0,0.74
5.36,110.1,23.35,11833.04,86.87,0,0.74
5.48,110.62,23.42,11830.24,87.25,0,0.75
5.6,111.08,23.5,11827.42,87.7,0,0.76
5.72,111.55,23.57,11824.6,88.08,0,0.76
5.84,112.06,23.64,11821.76,88.45,0,0.77
5.96,112.49,23.72,11818.92,88.85,0,0.78
6.08,112.94,23.79,11816.07,89.24,0,0.78
6.2,113.43,23.86,11813.21,89.62,0,0.79
6.32,113.92,23.94,11810.34,90.05,0,0.8
6.44,114.39,24.02,11807.46,90.48,0,0.81
6.56,114.87,24.09,11804.57,90.89,0,0.81
6.68,115.41,24.17,11801.68,91.33,0,0.82
6.8,115.88,24.24,11798.77,91.73,0,0.83
6.92,116.3,24.31,11795.86,92.08,0,0.83
7.04,116.76,24.39,11792.94,92.49,0,0.84
7.16,117.26,24.46,11790,92.87,0,0.85
7.28,117.79,24.53,11787.06,93.41,0,0.85
7.4,118.44,24.61,11784.11,93.96,0,0.86
7.52,119.06,24.68,11781.15,94.44,0,0.87
7.64,119.62,24.76,11778.19,94.96,0,0.87
7.76,120.18,24.83,11775.21,95.43,0,0.88
7.88,120.68,24.91,11772.22,95.82,0,0.89
8,121.13,24.98,11769.23,96.19,0,0.89
8.12,121.56,25.06,11766.23,96.65,0,0.9
8.24,122.15,25.13,11763.21,97.07,0,0.91
8.36,122.58,25.21,11760.19,97.46,0,0.92
8.48,123.04,25.28,11757.16,97.86,0,0.92
8.6,123.53,25.36,11754.12,98.27,0,0.93
8.72,123.98,25.43,11751.08,98.64,0,0.94
8.84,124.44,25.51,11748.02,99.05,0,0.94
8.96,124.91,25.58,11744.95,99.44,0,0.95
9.08,125.4,25.65,11741.88,99.87,0,0.96
9.2,125.95,25.72,11738.79,100.3,0,0.96
9.32,126.54,25.8,11735.7,100.81,0,0.97
9.44,126.98,25.88,11732.6,101.17,0,0.98
9.56,127.4,25.95,11729.49,101.54,0,0.99
9.68,127.87,26.03,11726.37,101.94,0,0.99
9.8,128.38,26.1,11723.24,102.4,0,1
9.92,128.88,26.17,11720.1,102.81,0,1.01
10.04,129.42,26.25,11716.96,103.2,0,1.01
10.16,129.87,26.32,11713.8,103.6,0,1.02
10.28,130.28,26.4,11710.64,103.99,0,1.03
10.4,130.78,26.46,11707.46,104.3,0,1.03
10.52,131.19,26.55,11704.28,104.75,0,1.04
10.64,131.67,26.62,11701.09,105.12,0,1.05
10.76,132.12,26.69,11697.89,105.5,0,1.05
10.88,132.6,26.77,11694.68,105.91,0,1.06
11,133.05,26.85,11691.46,106.33,0,1.07
11.12,133.52,26.92,11688.24,106.73,0,1.07
11.24,134.07,27,11685,107.18,0,1.08
11.36,134.56,27.06,11681.76,107.57,0,1.09
11.48,135.1,27.15,11678.5,108.06,0,1.1
11.6,135.61,27.21,11675.24,108.42,0,1.1
11.72,136.07,27.29,11671.97,108.84,0,1.11
11.84,136.48,27.37,11668.69,109.24,0,1.12
11.96,136.97,27.44,11665.4,109.63,0,1.12
12.08,137.34,27.52,11662.1,110,0,1.13
12.2,137.82,27.59,11658.79,110.29,0,1.14
12.32,138.25,27.67,11655.48,110.67,0,1.14
12.44,138.69,27.75,11652.15,111.03,0,1.15
12.56,139.17,27.8,11648.82,111.27,0,1.16
12.68,139.55,27.89,11645.47,111.73,0,1.16
12.8,140.06,27.97,11642.12,112.14,0,1.17
12.92,140.46,28.04,11638.76,112.47,0,1.18
13.04,140.87,28.1,11635.39,112.81,0,1.18
13.16,141.32,28.19,11632.01,113.19,0,1.19
13.28,141.73,28.26,11628.62,113.55,0,1.2
13.4,142.2,28.33,11625.23,113.9,0,1.2
13.52,142.59,28.41,11621.82,114.25,0,1.21
13.64,143.01,28.48,11618.41,114.6,0,1.22
13.76,143.39,28.56,11614.98,114.92,0,1.23
13.88,143.84,28.63,11611.55,115.25,0,1.23
14,144.26,28.7,11608.11,115.57,0,1.24
14.12,144.64,28.78,11604.66,115.89,0,1.25
14.24,144.99,28.85,11601.2,116.16,0,1.25
14.36,145.36,28.92,11597.73,116.43,0,1.26
14.48,145.7,29.01,11594.25,116.77,0,1.27
14.6,146.04,29.08,11590.77,117.01,0,1.27
14.72,146.41,29.15,11587.27,117.28,0,1.28
14.84,146.74,29.23,11583.77,117.59,0,1.29
14.96,147.09,29.3,11580.25,117.85,0,1.29
15.08,147.49,29.38,11576.73,118.18,0,1.3
15.2,147.89,29.45,11573.2,118.51,0,1.31
15.32,148.3,29.53,11569.66,118.85,0,1.32
15.44,148.72,29.6,11566.11,119.18,0,1.32
15.56,149.13,29.68,11562.55,119.53,0,1.33
15.68,149.54,29.75,11558.99,119.85,0,1.34
15.8,149.95,29.83,11555.41,120.19,0,1.34
15.92,150.38,29.9,11551.83,120.53,0,1.35
16.04,150.78,29.97,11548.23,120.87,0,1.36
16.16,151.17,30.05,11544.63,121.19,0,1.36
16.28,151.55,30.12,11541.02,121.5,0,1.37
16.4,151.96,30.2,11537.4,121.84,0,1.38
16.52,152.32,30.27,11533.77,122.13,0,1.38
16.64,152.72,30.35,11530.13,122.44,0,1.39
16.76,153.12,30.42,11526.48,122.76,0,1.4
16.88,153.5,30.5,11522.83,123.07,0,1.4
17,153.86,30.57,11519.16,123.34,0,1.41
17.12,154.21,30.64,11515.49,123.64,0,1.42
17.24,154.59,30.72,11511.8,123.92,0,1.42
17.36,154.95,30.79,11508.11,124.22,0,1.43
17.48,155.27,30.87,11504.41,124.46,0,1.44
17.6,155.62,30.94,11500.7,124.74,0,1.45
17.72,155.96,31.02,11496.98,125,0,1.45
17.84,156.34,31.09,11493.25,125.32,0,1.46
17.96,156.73,31.17,11489.51,125.66,0,1.47
18.08,157.16,31.24,11485.76,125.98,0,1.47
18.2,157.57,31.32,11482.01,126.31,0,1.48
18.32,157.94,31.39,11478.25,126.6,0,1.49
18.44,158.29,31.47,11474.47,126.89,0,1.49
18.56,158.64,31.54,11470.69,127.16,0,1.5
18.68,159,31.61,11466.9,127.44,0,1.51
18.8,159.37,31.69,11463.1,127.75,0,1.51
18.92,159.72,31.77,11459.29,128.03,0,1.52
19.04,160.04,31.84,11455.48,128.28,0,1.53
19.16,160.35,31.91,11451.65,128.5,0,1.53
19.28,160.68,31.99,11447.82,128.76,0,1.54
19.4,161.07,32.06,11443.97,129.06,0,1.55
19.52,161.47,32.13,11440.12,129.38,0,1.55
19.64,161.88,32.21,11436.26,129.75,0,1.56
19.76,162.27,32.29,11432.38,130.06,0,1.57
19.88,162.67,32.36,11428.5,130.38,0,1.58
20,163.04,32.44,11424.62,130.68,0,1.58
20.12,163.36,32.51,11420.72,130.88,0,1.59
20.24,163.63,32.59,11416.81,131.11,0,1.6
20.36,163.95,32.66,11412.9,131.33,0,1.6
20.48,164.25,32.73,11408.97,131.56,0,1.61
20.6,164.54,32.81,11405.04,131.76,0,1.62
20.72,164.8,32.89,11401.1,131.99,0,1.62
20.84,165.1,32.96,11397.14,132.2,0,1.63
20.96,165.42,33.03,11393.18,132.42,0,1.64
21.08,165.74,33.1,11389.21,132.64,0,1.64
21.2,166.03,33.18,11385.24,132.9,0,1.65
21.32,166.35,33.25,11381.25,133.16,0,1.66
21.44,166.71,33.33,11377.25,133.41,0,1.66
21.56,167.01,33.41,11373.25,133.68,0,1.67
21.68,167.31,33.47,11369.23,133.85,0,1.68
21.8,167.53,33.55,11365.21,134.03,0,1.68
21.92,167.81,33.62,11361.18,134.19,0,1.69
22.04,168.08,33.7,11357.14,134.38,0,1.7
22.16,168.36,33.78,11353.08,134.66,0,1.71
22.28,168.68,33.85,11349.03,134.86,0,1.71
22.4,168.93,33.93,11344.96,135.04,0,1.72
22.52,169.18,34.01,11340.88,135.23,0,1.73
22.64,169.49,34.08,11336.8,135.47,0,1.73
22.76,169.82,34.15,11332.7,135.72,0,1.74
22.88,170.14,34.22,11328.6,135.96,0,1.75
23,170.5,34.3,11324.48,136.25,0,1.75
23.12,170.84,34.38,11320.36,136.52,0,1.76
23.24,171.2,34.45,11316.23,136.82,0,1.77
23.36,171.63,34.53,11312.09,137.14,0,1.77
23.48,171.95,34.6,11307.94,137.4,0,1.78
23.6,172.32,34.67,11303.79,137.68,0,1.79
23.72,172.68,34.75,11299.62,137.96,0,1.79
23.84,173,34.83,11295.44,138.24,0,1.8
23.96,173.37,34.9,11291.26,138.5,0,1.81
24.08,173.7,34.98,11287.06,138.78,0,1.81
24.2,174.01,35.05,11282.86,139.01,0,1.82
24.32,174.31,35.13,11278.65,139.23,0,1.83
24.44,174.54,35.2,11274.43,139.39,0,1.84
24.56,174.83,35.28,11270.2,139.59,0,1.84
24.68,175.06,35.35,11265.96,139.78,0,1.85
24.8,175.34,35.43,11261.71,140.01,0,1.86
24.92,175.6,35.5,11257.46,140.18,0,1.86
25.04,175.94,35.57,11253.19,140.41,0,1.87
25.16,176.2,35.64,11248.92,140.62,0,1.88
25.28,176.53,35.72,11244.63,140.87,0,1.88
25.4,176.87,35.79,11240.34,141.08,0,1.89
25.52,177.14,35.88,11236.04,141.33,0,1.9
25.64,177.49,35.95,11231.73,141.6,0,1.9
25.76,177.83,36.02,11227.41,141.84,0,1.91
25.88,178.08,36.09,11223.08,142.04,0,1.92
26,178.39,36.17,11218.75,142.27,0,1.92
26.12,178.69,36.24,11214.4,142.52,0,1.93
26.24,179.04,36.33,11210.05,142.8,0,1.94
26.36,179.37,36.39,11205.68,143.01,0,1.94
26.48,179.66,36.47,11201.31,143.22,0,1.95
26.6,179.9,36.54,11196.93,143.43,0,1.96
26.72,180.23,36.62,11192.54,143.67,0,1.96
26.84,180.54,36.69,11188.14,143.88,0,1.97
26.96,180.87,36.77,11183.73,144.12,0,1.98
27.08,181.08,36.84,11179.31,144.33,0,1.98
27.2,181.43,36.92,11174.89,144.56,0,1.99
27.32,181.77,36.99,11170.45,144.81,0,2
27.44,182.09,37.07,11166.01,145.08,0,2.01
27.56,182.37,37.14,11161.55,145.25,0,2.01
27.68,182.63,37.21,11157.09,145.44,0,2.02
27.8,182.87,37.29,11152.62,145.65,0,2.03
27.92,183.15,37.36,11148.14,145.84,0,2.03
28.04,183.41,37.44,11143.65,146.04,0,2.04
28.16,183.67,37.51,11139.15,146.21,0,2.05
28.28,183.92,37.59,11134.65,146.34,0,2.05
28.4,184.13,37.66,11130.13,146.5,0,2.06
28.52,184.37,37.74,11125.61,146.69,0,2.07
28.64,184.63,37.81,11121.07,146.84,0,2.07
28.76,184.92,37.87,11116.53,146.97,0,2.08
28.88,185.1,37.97,11111.98,147.19,0,2.09
29,185.36,38.03,11107.42,147.32,0,2.09
29.12,185.59,38.11,11102.85,147.53,0,2.1
29.24,185.83,38.18,11098.27,147.69,0,2.11
29.36,186.07,38.26,11093.68,147.85,0,2.11
29.48,186.28,38.33,11089.08,147.97,0,2.12
29.6,186.49,38.41,11084.48,148.11,0,2.13
29.72,186.68,38.48,11079.86,148.23,0,2.13
29.84,186.85,38.56,11075.24,148.32,0,2.14
29.96,187.01,38.63,11070.61,148.41,0,2.15
30.08,187.21,38.7,11065.97,148.55,0,2.15
30.2,187.44,38.78,11061.32,148.7,0,2.16
30.32,187.69,38.85,11056.66,148.87,0,2.17
30.44,187.88,38.93,11051.99,149,0,2.17
30.56,188.08,39,11047.31,149.12,0,2.18
30.68,188.3,39.07,11042.63,149.25,0,2.19
30.8,188.55,39.15,11037.93,149.44,0,2.19
30.92,188.8,39.23,11033.23,149.61,0,2.2
31.04,189.05,39.3,11028.52,149.76,0,2.21
31.16,189.28,39.38,11023.79,149.94,0,2.22
31.28,189.54,39.45,11019.06,150.12,0,2.22
31.4,189.76,39.53,11014.32,150.27,0,2.23
31.52,189.99,39.6,11009.58,150.42,0,2.24
31.64,190.2,39.67,11004.82,150.56,0,2.24
31.76,190.43,39.75,11000.05,150.73,0,2.25
31.88,190.66,39.82,10995.28,150.89,0,2.26
32,190.9,39.9,10990.49,151.04,0,2.26
32.12,191.13,39.97,10985.7,151.21,0,2.27
32.24,191.41,40.05,10980.9,151.42,0,2.28
32.36,191.64,40.12,10976.09,151.57,0,2.28
32.48,191.87,40.19,10971.27,151.72,0,2.29
32.6,192.08,40.26,10966.44,151.85,0,2.3
32.72,192.32,40.34,10961.6,152.03,0,2.3
32.84,192.58,40.41,10956.75,152.18,0,2.31
32.96,192.76,40.49,10951.9,152.33,0,2.32
33.08,193.02,40.56,10947.03,152.47,0,2.32
33.2,193.21,40.64,10942.16,152.6,0,2.33
33.32,193.36,40.71,10937.28,152.69,0,2.34
33.44,193.54,40.78,10932.39,152.76,0,2.34
33.56,193.71,40.86,10927.49,152.85,0,2.35
33.68,193.82,40.94,10922.58,152.88,0,2.36
33.8,194.15,41.01,10917.66,153.27,0,2.36
33.92,194.9,41.09,10912.73,153.92,0,2.37
34.04,195.42,41.16,10907.8,154.33,0,2.38
34.16,195.84,41.24,10902.85,154.67,0,2.38
34.28,196.22,41.31,10897.9,154.98,0,2.39
34.4,196.68,41.39,10892.93,155.35,0,2.4
34.52,197.1,41.46,10887.96,155.69,0,2.4
34.64,197.51,41.54,10882.98,156.02,0,2.41
34.76,197.92,41.61,10877.99,156.35,0,2.42
34.88,198.34,41.69,10872.99,156.72,0,2.42
35,198.77,41.76,10867.98,157.04,0,2.43
35.12,199.12,41.83,10862.96,157.32,0,2.44
35.24,199.48,41.91,10857.94,157.62,0,2.44
35.36,199.81,41.99,10852.9,157.87,0,2.45
35.48,200.13,42.06,10847.86,158.1,0,2.46
35.6,200.39,42.13,10842.81,158.33,0,2.46
35.72,200.67,42.21,10837.74,158.5,0,2.47
35.84,200.93,42.29,10832.67,158.7,0,2.48
35.96,201.21,42.36,10827.59,158.87,0,2.48
36.08,201.49,42.44,10822.5,159.09,0,2.49
36.2,201.75,42.51,10817.4,159.25,0,2.5
36.32,201.98,42.59,10812.3,159.43,0,2.51
36.44,202.18,42.66,10807.18,159.53,0,2.51
36.56,202.37,42.73,10802.06,159.64,0,2.52
36.68,202.59,42.81,10796.92,159.8,0,2.53
36.8,202.77,42.89,10791.78,159.93,0,2.53
36.92,203.02,42.96,10786.63,160.08,0,2.54
37.04,203.27,43.04,10781.46,160.27,0,2.55
37.16,203.53,43.11,10776.29,160.45,0,2.55
37.28,203.8,43.18,10771.12,160.61,0,2.56
37.4,204.01,43.26,10765.93,160.76,0,2.57
37.52,204.19,43.34,10760.73,160.9,0,2.57
37.64,204.37,43.41,10755.52,160.98,0,2.58
37.76,204.57,43.49,10750.31,161.14,0,2.59
37.88,204.77,43.57,10745.09,161.26,0,2.59
38,204.93,43.63,10739.85,161.33,0,2.6
38.12,205.13,43.71,10734.61,161.41,0,2.61
38.24,205.18,43.78,10729.36,161.45,0,2.61
38.36,205.35,43.86,10724.1,161.52,0,2.62
38.48,205.53,43.93,10718.83,161.6,0,2.63
38.6,205.67,44.01,10713.55,161.69,0,2.63
38.72,205.8,44.09,10708.27,161.75,0,2.64
38.84,205.95,44.16,10702.97,161.82,0,2.65
38.96,206.07,44.23,10697.67,161.87,0,2.65
39.08,206.2,44.31,10692.35,161.92,0,2.66
39.2,206.32,44.38,10687.03,161.94,0,2.67
39.32,206.38,44.46,10681.7,161.92,0,2.67
39.44,206.37,44.53,10676.36,161.82,0,2.68
39.56,206.36,44.6,10671.01,161.73,0,2.69
39.68,206.27,44.68,10665.65,161.57,0,2.69
39.8,206.08,44.76,10660.28,161.3,0,2.7
39.92,205.83,44.83,10654.91,160.92,0,2.71
40.04,205.9,44.9,10649.52,161.04,0,2.71
40.16,206.13,44.99,10644.13,161.23,0,2.72
40.28,206.36,45.05,10638.72,161.31,0,2.73
40.4,206.5,45.13,10633.31,161.41,0,2.73
40.52,206.66,45.21,10627.89,161.46,0,2.74
40.64,206.8,45.28,10622.46,161.54,0,2.75
40.76,206.94,45.36,10617.02,161.58,0,2.75
40.88,207.06,45.43,10611.57,161.66,0,2.76
41,207.3,45.5,10606.11,161.8,0,2.77
41.12,207.43,45.58,10600.65,161.94,0,2.77
41.24,207.69,45.66,10595.17,162.06,0,2.78
41.36,207.87,45.71,10589.69,162.11,0,2.79
41.48,208.06,45.81,10584.2,162.3,0,2.79
41.6,208.31,45.89,10578.69,162.48,0,2.8
41.72,208.51,45.94,10573.18,162.51,0,2.81
41.84,208.6,46.03,10567.66,162.6,0,2.81
41.96,208.74,46.1,10562.13,162.64,0,2.82
42.08,208.85,46.18,10556.59,162.68,0,2.83
42.2,208.94,46.26,10551.05,162.71,0,2.84
42.32,209.07,46.33,10545.49,162.72,0,2.84
42.44,209.12,46.4,10539.92,162.69,0,2.85
42.56,209.25,46.49,10534.35,162.76,0,2.86
42.68,209.35,46.56,10528.77,162.85,0,2.86
42.8,209.55,46.64,10523.17,162.96,0,2.87
42.92,209.63,46.72,10517.57,163.06,0,2.88
43.04,209.83,46.77,10511.96,163.06,0,2.88
43.16,209.99,46.85,10506.34,163.16,0,2.89
43.28,210.15,46.93,10500.72,163.25,0,2.89
43.4,210.35,47,10495.08,163.39,0,2.9
43.52,210.53,47.07,10489.43,163.49,0,2.91
43.64,210.68,47.15,10483.78,163.56,0,2.91
